CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR18-JUN-2021CE75.25,0.4975000,0.0000,0.0000,0.0000,0.5625,0.4700,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR29-MAR-2022CE75.25,3.1825000,0.0000,0.0000,0.0000,2.6925,3.1450,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR28-JUN-2021PE75.25,1.1225000,0.0000,0.0000,0.0000,0.8550,1.1475,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR28-SEP-2021PE75.25,1.1500000,0.0000,0.0000,0.0000,1.3100,1.1700,0.02,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR04-JUN-2021CE75.25,0.3400000,0.0000,0.0000,0.0000,0.4275,0.3125,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR28-JUL-2021CE75.25,0.9250000,0.0000,0.0000,0.0000,1.2150,0.8900,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR21-MAY-2021CE75.25,0.1825000,0.0000,0.0000,0.0000,0.2575,0.1600,0.02,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR11-JUN-2021PE75.25,1.1125000,0.0000,0.0000,0.0000,2.0875,1.1400,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR16-JUL-2021PE75.25,0.0000000,0.0000,0.0000,0.0000,1.1325,1.1600,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR09-JUL-2021CE85,5.9125000,0.0000,0.0000,0.0000,6.5450,5.5250,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR11-JUN-2021CE85,5.5000000,0.0000,0.0000,0.0000,3.2300,5.1150,0.39,0,0,0,,0.0000000,0.0000000
